,0
206,3.020581536579335e-05
207,2.8193212669838096e-05
208,1.8646466713525852e-05
209,3.2315919372669525e-05
210,4.139312251010635e-05
211,3.215731632507952e-05
212,4.347826482803128e-05
213,2.8901574325227126e-05
214,3.4033632481950674e-05
215,4.975455322464764e-05
216,2.3689963636202036e-05
217,3.259972811409688e-05
218,1.8982799084844042e-05
219,1.1902439899244417e-05
220,2.5050470596719124e-05
221,2.43995839176204e-05
222,4.482215005859442e-05
223,2.835681262840398e-05
224,3.0402645889066235e-05
225,4.049037021502489e-05
226,2.982077529385546e-05
227,5.569016538507297e-05
228,2.9888751540443335e-05
229,3.1370581724700324e-05
230,2.2222406980945996e-05
231,1.9910523023755115e-05
232,1.7836196344908055e-05
233,2.619238926880815e-05
234,1.5065423084020265e-05
235,2.1026087639569042e-05
236,3.717957271708675e-05
237,2.166147350655933e-05
238,3.074166678777714e-05
239,1.8436183061481803e-05
240,2.4535667289751563e-05
241,1.897996054494889e-05
242,2.1614750509777328e-05
243,2.944218180894072e-05
244,2.4803321996245205e-05
245,2.30731451872541e-05
246,3.965300960741638e-05
247,4.056161110662291e-05
248,2.4818422423341097e-05
249,3.505264971210923e-05
250,4.266381483550292e-05
251,1.6404586557500966e-05
252,2.954534884959114e-05
253,1.1883164788234017e-05
254,3.0233409376833214e-05
255,3.3989229450261054e-05
256,2.3386910261368623e-05
257,3.632801947961314e-05
258,1.761258550461095e-05
259,2.4441508850741896e-05
260,2.7597045977926324e-05
261,3.012604538121542e-05
262,2.3128137766446918e-05
263,2.279483203673505e-05
264,3.9834066115292364e-05
265,3.262375187995216e-05
266,2.1516707248850463e-05
267,1.6506798916509626e-05
268,2.6621377177029607e-05
269,3.853075697368226e-05
270,2.5308344069628602e-05
271,2.108257474894953e-05
272,4.0659591551562615e-05
273,3.967944515854876e-05
274,2.144694704876113e-05
275,2.3095445056801866e-05
276,2.0916421568232577e-05
277,7.602880027074637e-05
278,3.209533355570098e-05
279,5.691207647133387e-05
280,2.1538307788751103e-05
281,6.620212653810183e-05
282,3.812487022117896e-05
283,2.4001607026503214e-05
284,4.59022243810715e-05
285,2.621698981975386e-05
286,2.4785488396238075e-05
287,2.65405495793608e-05
288,2.522644057274842e-05
289,3.068749576591438e-05
290,2.672096373893652e-05
291,2.4033784198584848e-05
292,2.6114476907188563e-05
293,2.962520694582117e-05
294,5.4252250192543923e-05
295,3.250206319566609e-05
296,5.502130068473488e-05
297,2.8158677381404695e-05
298,2.0633782572368592e-05
299,3.4651866348970594e-05
300,6.88681672464208e-05
301,2.6696037925842523e-05
302,2.2220346319451273e-05
303,3.1555309648276284e-05
304,1.773458404018468e-05
305,3.8666909839083366e-05
306,2.950129028214244e-05
307,2.7156565046236734e-05
308,1.886776827447468e-05
309,3.9740009977441225e-05
310,3.102697086187807e-05
311,4.12483768290938e-05
312,1.6935120677937715e-05
313,2.1078968417017683e-05
314,2.991260505768232e-05
315,3.800120171293826e-05
316,2.785783500869895e-05
317,2.517971402704872e-05
318,5.863366893214141e-05
319,3.1628564339787286e-05
320,3.380777510372759e-05
321,3.591840991632803e-05
322,2.383925563493986e-05
323,6.996125903449844e-05
324,6.404019399981317e-05
325,2.9301137358214798e-05
326,1.605324388419084e-05
327,3.4868814142328083e-05
328,6.018070588314568e-05
329,1.9889669464479697e-05
330,3.2303476401147256e-05
331,6.729044508862606e-05
332,1.4433101891509782e-05
333,3.145345567294533e-05
334,4.4233957426080896e-05
335,6.173391590589284e-05
336,3.095057572345229e-05
337,3.102455658716584e-05
338,2.8487258768960947e-05
339,3.375136548748791e-05
340,4.454146426516223e-05
341,2.4672178808509188e-05
342,2.6699769364897975e-05
343,5.7608796767237516e-05
344,4.658350805668451e-05
345,2.737146090051487e-05
346,4.601896538127029e-05
347,2.7818772322437097e-05
348,1.8744670609585754e-05
349,3.344579284396291e-05
350,2.5634952469838117e-05
351,2.753018072956243e-05
352,5.838504879545632e-05
353,4.874504471040184e-05
354,2.919304796772373e-05
355,2.5145956217009966e-05
356,2.2928777182927428e-05
357,7.013270950230142e-05
358,2.2070133585498637e-05
359,2.753827778392826e-05
360,6.552626118562298e-05
361,3.751752040454e-05
362,2.8654632740552926e-05
363,3.29704430870853e-05
