,0
161,2.5098549247168233e-05
162,2.2432061689762512e-05
163,2.2061449216268537e-05
164,2.096960138379621e-05
165,3.5518999384097404e-05
166,7.76666261267409e-05
167,1.3794275987617897e-05
168,3.0984052913631295e-05
169,2.262067583229053e-05
170,2.5221414693021744e-05
171,2.9462670487385512e-05
172,3.0148840277273933e-05
173,2.6629985477479553e-05
174,2.2161228815004708e-05
175,2.14758908941765e-05
176,3.213087915227618e-05
177,6.664065008537861e-05
178,3.0298887097662103e-05
179,2.6074567653180003e-05
180,2.6865870205528524e-05
181,2.3430340337646334e-05
182,2.763675930166411e-05
183,2.7774148488420675e-05
184,2.56706730454343e-05
185,4.655858025631827e-05
186,3.930708086456995e-05
187,2.276499408074724e-05
188,1.4657251759514896e-05
189,1.1716640863362435e-05
190,2.653775227433769e-05
191,2.9868445066062854e-05
192,1.4045619011181562e-05
193,1.787677663444871e-05
194,3.4695762665835575e-05
195,1.7219940568524032e-05
196,1.720857997952416e-05
197,5.769213205233559e-05
198,4.1505113555054496e-05
199,2.240818558736704e-05
200,1.1611767031948091e-05
201,2.0137766818723066e-05
202,3.111458086184841e-05
203,2.989418528481163e-05
204,3.1960258666443685e-05
205,3.017994522042983e-05
206,3.951372061776477e-05
207,2.9643658854978798e-05
208,2.4491324899878e-05
209,2.592964451452893e-05
210,1.8389692347019833e-05
211,1.7254698368709705e-05
212,2.5636042880022978e-05
213,6.489459255866188e-05
214,3.6502274165338785e-05
215,2.1419783101260093e-05
216,4.4588941426195986e-05
217,6.64777962763876e-05
218,1.9111764847346763e-05
219,2.5008250481650854e-05
220,2.8511223024719693e-05
221,2.050681861345626e-05
222,3.0587211170774955e-05
223,2.911633517121453e-05
224,6.825508415024422e-05
225,2.0701102209652912e-05
226,2.6808197525541484e-05
227,4.441776152077756e-05
228,3.27181214119311e-05
229,3.9737774257660876e-05
230,5.639674213008086e-05
231,1.7141357079642314e-05
232,4.537678131872104e-05
233,4.9088001274338065e-05
234,3.232453807122627e-05
235,2.1426074093831766e-05
236,6.293594232524621e-05
237,3.1752633798107764e-05
238,2.1899552289749227e-05
239,2.2616460480934743e-05
240,3.582329272385156e-05
241,2.958814239997249e-05
242,4.285464954466053e-05
243,1.9383293168553047e-05
244,2.44058694029089e-05
245,2.3853194806663632e-05
246,2.161559036758905e-05
247,3.4532873440556834e-05
248,2.547668136728018e-05
249,2.5152921350205272e-05
250,2.466787065456455e-05
251,3.116263062407174e-05
252,3.41862739649475e-05
253,5.1967957760467065e-05
254,4.7488188623878097e-05
255,2.628669989401421e-05
256,2.9796186285663806e-05
