,Index,Date,neg,neu,pos,compound
197,AOS,2020-01-28,0.0,0.804,0.196,0.296
198,AOS,2020-01-26,0.0,1.0,0.0,0.0
199,AOS,2020-01-25,0.091,0.909,0.0,-0.1027
200,ABT,2021-04-15,0.0,1.0,0.0,0.0
201,ABT,2021-04-14,0.0,0.769,0.231,0.2023
202,ABT,2021-04-13,0.0,0.789,0.211,0.34
203,ABT,2021-04-13,0.0,1.0,0.0,0.0
204,ABT,2021-04-13,0.143,0.857,0.0,-0.128
205,ABT,2021-04-12,0.0,0.787,0.213,0.4019
206,ABT,2021-04-12,0.0,1.0,0.0,0.0
207,ABT,2021-04-10,0.0,0.73,0.27,0.5707
208,ABT,2021-04-09,0.0,1.0,0.0,0.0
209,ABT,2021-04-08,0.0,1.0,0.0,0.0
210,ABT,2021-04-08,0.0,0.838,0.162,0.4767
211,ABT,2021-04-08,0.0,1.0,0.0,0.0
212,ABT,2021-04-07,0.189,0.811,0.0,-0.2732
213,ABT,2021-04-06,0.104,0.743,0.153,0.25
214,ABT,2021-04-05,0.189,0.811,0.0,-0.2732
215,ABT,2021-04-05,0.0,1.0,0.0,0.0
216,ABT,2021-04-05,0.0,1.0,0.0,0.0
217,ABT,2021-04-01,0.0,0.68,0.32,0.5106
218,ABT,2021-04-01,0.0,0.811,0.189,0.1027
219,ABT,2021-04-01,0.186,0.714,0.1,-0.296
220,ABT,2021-03-31,0.0,0.795,0.205,0.4767
221,ABT,2021-03-31,0.14,0.86,0.0,-0.3818
222,ABT,2021-03-30,0.0,1.0,0.0,0.0
223,ABT,2021-03-29,0.0,1.0,0.0,0.0
224,ABT,2021-03-29,0.0,1.0,0.0,0.0
225,ABT,2021-03-28,0.0,1.0,0.0,0.0
226,ABT,2021-03-26,0.0,1.0,0.0,0.0
227,ABT,2021-03-26,0.0,1.0,0.0,0.0
228,ABT,2021-03-26,0.0,1.0,0.0,0.0
229,ABT,2021-03-26,0.0,1.0,0.0,0.0
230,ABT,2021-03-26,0.348,0.652,0.0,-0.4939
231,ABT,2021-03-25,0.0,1.0,0.0,0.0
232,ABT,2021-03-25,0.0,1.0,0.0,0.0
233,ABT,2021-03-25,0.0,0.565,0.435,0.6597
234,ABT,2021-03-25,0.0,0.726,0.274,0.5267
235,ABT,2021-03-24,0.167,0.833,0.0,-0.1531
236,ABT,2021-03-24,0.0,0.745,0.255,0.34
237,ABT,2021-03-24,0.0,1.0,0.0,0.0
238,ABT,2021-03-23,0.0,0.795,0.205,0.2023
239,ABT,2021-03-23,0.0,1.0,0.0,0.0
240,ABT,2021-03-23,0.174,0.826,0.0,-0.2732
241,ABT,2021-03-22,0.0,0.808,0.192,0.2263
242,ABT,2021-03-21,0.0,1.0,0.0,0.0
243,ABT,2021-03-19,0.0,1.0,0.0,0.0
244,ABT,2021-03-19,0.0,0.728,0.272,0.6249
245,ABT,2021-03-18,0.0,0.748,0.252,0.4019
246,ABT,2021-03-18,0.0,0.787,0.213,0.2263
247,ABT,2021-03-18,0.0,1.0,0.0,0.0
248,ABT,2021-03-17,0.0,0.806,0.194,0.34
249,ABT,2021-03-17,0.0,0.747,0.253,0.6633
250,ABT,2021-03-17,0.0,0.824,0.176,0.128
251,ABT,2021-03-16,0.0,1.0,0.0,0.0
252,ABT,2021-03-16,0.0,1.0,0.0,0.0
253,ABT,2021-03-16,0.0,0.625,0.375,0.5574
254,ABT,2021-03-15,0.0,1.0,0.0,0.0
255,ABT,2021-03-15,0.0,1.0,0.0,0.0
256,ABT,2021-03-12,0.0,1.0,0.0,0.0
257,ABT,2021-03-11,0.0,0.789,0.211,0.34
258,ABT,2021-03-11,0.0,0.782,0.218,0.5106
259,ABT,2021-03-09,0.0,1.0,0.0,0.0
260,ABT,2021-03-09,0.0,1.0,0.0,0.0
261,ABT,2021-03-08,0.278,0.444,0.278,0.0
262,ABT,2021-03-08,0.0,1.0,0.0,0.0
263,ABT,2021-03-08,0.0,1.0,0.0,0.0
264,ABT,2021-03-08,0.173,0.733,0.093,-0.296
265,ABT,2021-03-06,0.0,1.0,0.0,0.0
266,ABT,2021-03-05,0.194,0.62,0.186,-0.0258
267,ABT,2021-03-05,0.139,0.695,0.166,0.128
268,ABT,2021-03-05,0.191,0.809,0.0,-0.3818
269,ABT,2021-03-05,0.0,0.795,0.205,0.2023
270,ABT,2021-03-05,0.152,0.848,0.0,-0.6369
271,ABT,2021-03-05,0.25,0.75,0.0,-0.4588
272,ABT,2021-03-04,0.0,0.648,0.352,0.4215
273,ABT,2021-03-04,0.0,1.0,0.0,0.0
274,ABT,2021-03-04,0.0,0.841,0.159,0.1779
275,ABT,2021-03-03,0.0,1.0,0.0,0.0
276,ABT,2021-03-03,0.0,0.816,0.184,0.2023
277,ABT,2021-03-03,0.0,0.814,0.186,0.6705
278,ABT,2021-03-02,0.0,1.0,0.0,0.0
279,ABT,2021-03-02,0.0,1.0,0.0,0.0
280,ABT,2021-03-02,0.0,1.0,0.0,0.0
281,ABT,2021-03-02,0.0,0.769,0.231,0.2023
282,ABT,2021-03-01,0.0,0.504,0.496,0.7096
283,ABT,2021-03-01,0.0,1.0,0.0,0.0
284,ABT,2021-03-01,0.0,1.0,0.0,0.0
285,ABT,2021-03-01,0.0,1.0,0.0,0.0
286,ABT,2021-03-01,0.0,0.795,0.205,0.2023
287,ABT,2021-03-01,0.0,0.816,0.184,0.2023
288,ABT,2021-02-28,0.0,0.494,0.506,0.6249
289,ABT,2021-02-26,0.0,1.0,0.0,0.0
290,ABT,2021-02-26,0.0,1.0,0.0,0.0
291,ABT,2021-02-26,0.0,1.0,0.0,0.0
292,ABT,2021-02-26,0.167,0.833,0.0,-0.1531
293,ABT,2021-02-26,0.0,1.0,0.0,0.0
294,ABT,2021-02-26,0.0,0.795,0.205,0.2023
295,ABT,2021-02-25,0.0,1.0,0.0,0.0
296,ABT,2021-02-24,0.0,0.795,0.205,0.2023
297,ABT,2021-02-23,0.0,1.0,0.0,0.0
298,ABT,2021-02-23,0.0,1.0,0.0,0.0
299,ABT,2021-02-19,0.0,0.548,0.452,0.5106
300,ABBV,2021-04-15,0.347,0.653,0.0,-0.7845
301,ABBV,2021-04-15,0.0,1.0,0.0,0.0
302,ABBV,2021-04-14,0.0,0.789,0.211,0.34
303,ABBV,2021-04-14,0.306,0.694,0.0,-0.296
304,ABBV,2021-04-13,0.0,0.795,0.205,0.2023
305,ABBV,2021-04-13,0.0,0.806,0.194,0.34
306,ABBV,2021-04-13,0.0,0.58,0.42,0.4404
307,ABBV,2021-04-13,0.492,0.508,0.0,-0.7003
308,ABBV,2021-04-13,0.0,0.73,0.27,0.5719
309,ABBV,2021-04-12,0.0,1.0,0.0,0.0
310,ABBV,2021-04-12,0.0,0.847,0.153,0.2023
311,ABBV,2021-04-12,0.0,1.0,0.0,0.0
312,ABBV,2021-04-11,0.0,1.0,0.0,0.0
313,ABBV,2021-04-11,0.0,0.594,0.406,0.6249
314,ABBV,2021-04-10,0.0,0.43,0.57,0.6486
315,ABBV,2021-04-09,0.195,0.805,0.0,-0.4404
316,ABBV,2021-04-09,0.0,1.0,0.0,0.0
317,ABBV,2021-04-09,0.0,1.0,0.0,0.0
318,ABBV,2021-04-08,0.0,0.693,0.307,0.4767
319,ABBV,2021-04-07,0.0,1.0,0.0,0.0
320,ABBV,2021-04-07,0.167,0.833,0.0,-0.25
321,ABBV,2021-04-07,0.0,1.0,0.0,0.0
322,ABBV,2021-04-07,0.0,1.0,0.0,0.0
323,ABBV,2021-04-07,0.0,0.882,0.118,0.34
324,ABBV,2021-04-06,0.0,1.0,0.0,0.0
